,n,L,time,rate,num_mutations,num_trees,num_edges
0,1000,53105263.0,0.86216665788088,1e-07,790766.4,72091,267495
1,1000,53105263.0,0.08843443929217756,1e-08,79050.4,72091,267495
2,1000,53105263.0,0.03238870080094784,1e-09,7882.7,72091,267495
3,15797,10000000.0,0.1832062260946259,1e-07,197006.7,18673,102399
4,15797,10000000.0,0.02239116420969367,1e-08,19701.5,18673,102399
5,15797,10000000.0,0.012028765783179551,1e-09,1968.9,18673,102399
6,1000,27052631.0,0.3669541380018927,1e-07,399661.9,36397,136304
7,1000,27052631.0,0.039615710393991324,1e-08,40019.4,36397,136304
8,1000,27052631.0,0.015886287891771645,1e-09,3975.9,36397,136304
9,21060,10000000.0,0.19820839808089658,1e-07,208525.2,19597,116103
10,21060,10000000.0,0.025226946116890758,1e-08,20880.6,19597,116103
11,21060,10000000.0,0.01381647657835856,1e-09,2062.1,19597,116103
12,42111,10000000.0,0.2255880835931748,1e-07,223818.8,21165,164742
13,42111,10000000.0,0.03432715451344848,1e-08,22302.5,21165,164742
14,42111,10000000.0,0.019490545406006275,1e-09,2249.2,21165,164742
15,1000,6210526.0,0.06524322170298547,1e-07,93957.7,8429,33114
16,1000,6210526.0,0.00933902581455186,1e-08,9403.5,8429,33114
17,1000,6210526.0,0.004836519109085202,1e-09,948.6,8429,33114
18,1000,11421052.0,0.1259184233029373,1e-07,164404.8,14958,57179
19,1000,11421052.0,0.015560523315798491,1e-08,16455.6,14958,57179
20,1000,11421052.0,0.007453771831933409,1e-09,1644.5,14958,57179
21,1000,47894736.0,0.7303283284301869,1e-07,714880.0,65160,242351
22,1000,47894736.0,0.07844679980771616,1e-08,71464.4,65160,242351
23,1000,47894736.0,0.028880048263818025,1e-09,7155.3,65160,242351
24,63161,10000000.0,0.2419021691195667,1e-07,232619.0,21856,209775
25,63161,10000000.0,0.03811579669127241,1e-08,23351.1,21856,209775
26,63161,10000000.0,0.02462029930902645,1e-09,2342.3,21856,209775
27,52636,10000000.0,0.23165553479921072,1e-07,228289.7,21479,187067
28,52636,10000000.0,0.03523764299461618,1e-08,22797.4,21479,187067
29,52636,10000000.0,0.021691845974419265,1e-09,2267.2,21479,187067
30,1000,68736842.0,1.1584254932939075,1e-07,1026871.7,93358,346561
31,1000,68736842.0,0.12349198010051624,1e-08,102475.5,93358,346561
32,1000,68736842.0,0.043906126311048864,1e-09,10267.0,93358,346561
33,1000,100000000.0,1.9574309799820184,1e-07,1509491.6,137081,508125
34,1000,100000000.0,0.25876560840988533,1e-08,150946.9,137081,508125
35,1000,100000000.0,0.09348448551027104,1e-09,15132.7,137081,508125
36,5272,10000000.0,0.18610192663036287,1e-07,182938.6,16851,73760
37,5272,10000000.0,0.025933433312457056,1e-08,18303.4,16851,73760
38,5272,10000000.0,0.00916254852199927,1e-09,1822.7,16851,73760
39,73686,10000000.0,0.25793128440855073,1e-07,234980.5,22293,232360
40,73686,10000000.0,0.05636033369228244,1e-08,23512.5,22293,232360
41,73686,10000000.0,0.028891410096548498,1e-09,2347.6,22293,232360
42,1000,89578947.0,1.8364222398726269,1e-07,1339712.8,121705,451041
43,1000,89578947.0,0.17021868200972676,1e-08,133980.6,121705,451041
44,1000,89578947.0,0.07396229651058092,1e-09,13387.4,121705,451041
45,68424,10000000.0,0.2997599569149315,1e-07,235306.2,22101,221286
46,68424,10000000.0,0.04718529670499265,1e-08,23543.0,22101,221286
47,68424,10000000.0,0.028085041488520802,1e-09,2348.7,22101,221286
48,1000,37473684.0,0.5978803336853161,1e-07,555912.9,50409,187591
49,1000,37473684.0,0.060764811397530136,1e-08,55479.4,50409,187591
50,1000,37473684.0,0.022546579490881413,1e-09,5578.1,50409,187591
51,1000,58315789.0,1.0097667479072698,1e-07,874844.0,79414,294728
52,1000,58315789.0,0.10918965330347419,1e-08,87361.3,79414,294728
53,1000,58315789.0,0.03639020381961018,1e-09,8750.6,79414,294728
54,1000,84368421.0,1.4186948108836077,1e-07,1257106.9,113927,422145
55,1000,84368421.0,0.16216020430438222,1e-08,125806.7,113927,422145
56,1000,84368421.0,0.05442500581266359,1e-09,12569.8,113927,422145
57,1000,1000000.0,0.00997551871696487,1e-07,15327.6,1442,7343
58,1000,1000000.0,0.0030936108087189496,1e-08,1528.5,1442,7343
59,1000,1000000.0,0.00246692089131102,1e-09,157.2,1442,7343
60,31585,10000000.0,0.23363027339801193,1e-07,220060.3,20766,142052
61,31585,10000000.0,0.03196645671268925,1e-08,21973.6,20766,142052
62,31585,10000000.0,0.0173577705048956,1e-09,2207.6,20766,142052
63,1000,32263157.0,0.4544330149074085,1e-07,482480.3,44172,165024
64,1000,32263157.0,0.052085149008780716,1e-08,48207.7,44172,165024
65,1000,32263157.0,0.01959364201175049,1e-09,4812.6,44172,165024
66,1000,73947368.0,1.2092240120982751,1e-07,1106490.1,100975,374759
67,1000,73947368.0,0.13857863589655608,1e-08,110629.7,100975,374759
68,1000,73947368.0,0.04808235679520294,1e-09,11043.6,100975,374759
69,78949,10000000.0,0.251726746710483,1e-07,233466.3,21959,241669
70,78949,10000000.0,0.04248525938019156,1e-08,23314.8,21959,241669
71,78949,10000000.0,0.02793133781524375,1e-09,2341.7,21959,241669
72,1000,16631578.0,0.20053227968746795,1e-07,246724.7,22714,85706
73,1000,16631578.0,0.02381822942988947,1e-08,24605.5,22714,85706
74,1000,16631578.0,0.010282805596943945,1e-09,2431.2,22714,85706
75,84212,10000000.0,0.2533141130232252,1e-07,236917.3,22504,254058
76,84212,10000000.0,0.04443076609168202,1e-08,23677.6,22504,254058
77,84212,10000000.0,0.029560311685781927,1e-09,2407.8,22504,254058
78,57898,10000000.0,0.23787742350250482,1e-07,230251.5,21571,198091
79,57898,10000000.0,0.037244389113038776,1e-08,22979.9,21571,198091
80,57898,10000000.0,0.02317286250181496,1e-09,2320.8,21571,198091
81,1000,21842105.0,0.2715783378109336,1e-07,317256.1,28889,108489
82,1000,21842105.0,0.030743010225705802,1e-08,31671.3,28889,108489
83,1000,21842105.0,0.012736348994076252,1e-09,3162.1,28889,108489
84,89474,10000000.0,0.2735206470009871,1e-07,242578.8,22648,265480
85,89474,10000000.0,0.046187204809393735,1e-08,24242.8,22648,265480
86,89474,10000000.0,0.03106702961958945,1e-09,2431.5,22648,265480
87,26323,10000000.0,0.199973508506082,1e-07,211715.3,19862,128005
88,26323,10000000.0,0.02710328809916973,1e-08,21232.1,19862,128005
89,26323,10000000.0,0.015315754187759012,1e-09,2114.6,19862,128005
90,47373,10000000.0,0.22629075307631866,1e-07,227491.6,21639,176955
91,47373,10000000.0,0.03471477108541876,1e-08,22732.6,21639,176955
92,47373,10000000.0,0.020384983893018217,1e-09,2297.0,21639,176955
93,1000,63526315.0,1.0022181824897416,1e-07,949011.0,86033,319137
94,1000,63526315.0,0.10922287279972806,1e-08,94776.4,86033,319137
95,1000,63526315.0,0.03912117988802492,1e-09,9457.6,86033,319137
96,10535,10000000.0,0.1713225639075972,1e-07,194278.3,18240,89943
97,10535,10000000.0,0.021995125501416624,1e-08,19494.8,18240,89943
98,10535,10000000.0,0.011302949511446059,1e-09,1945.2,18240,89943
99,36848,10000000.0,0.2184422176098451,1e-07,220949.0,20834,152905
100,36848,10000000.0,0.03095538999186829,1e-08,22037.5,20834,152905
101,36848,10000000.0,0.01845959060592577,1e-09,2209.7,20834,152905
102,1000,42684210.0,0.6180730582796968,1e-07,632591.5,57018,211998
103,1000,42684210.0,0.06966594129335135,1e-08,63284.5,57018,211998
104,1000,42684210.0,0.02517755851149559,1e-09,6352.9,57018,211998
105,10,10000000.0,0.02860610551433638,1e-07,53701.3,4191,12917
106,10,10000000.0,0.005252021504566074,1e-08,5406.9,4191,12917
107,10,10000000.0,0.0032021278981119393,1e-09,536.6,4191,12917
108,1000,79157894.0,1.3378650447004474,1e-07,1178004.2,107416,397988
109,1000,79157894.0,0.14775700381724163,1e-08,117612.9,107416,397988
110,1000,79157894.0,0.051749054621905086,1e-09,11758.7,107416,397988
111,1000,94789473.0,1.6242968381964602,1e-07,1417489.0,128564,476101
112,1000,94789473.0,0.1792134923278354,1e-08,142018.5,128564,476101
113,1000,94789473.0,0.06363032250665128,1e-09,14155.8,128564,476101
114,100000,10000000.0,0.26765850248048084,1e-07,242247.5,22590,286163
115,100000,10000000.0,0.050316453038249165,1e-08,24260.0,22590,286163
116,100000,10000000.0,0.0328048757975921,1e-09,2394.4,22590,286163
117,94737,10000000.0,0.2613610395928845,1e-07,240501.8,22516,275279
118,94737,10000000.0,0.04702167760115117,1e-08,23995.4,22516,275279
119,94737,10000000.0,0.0316200063098222,1e-09,2401.0,22516,275279
